X,Y,Class ID,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16,Class 17,Class 18,Class 19,ProbClass0,ProbClass1,ProbClass2,ProbClass3,ProbClass4,ProbClass5,ProbClass6,ProbClass7,ProbClass8,ProbClass9,ProbClass10,ProbClass11,ProbClass12,ProbClass13,ProbClass14,ProbClass15,ProbClass16,ProbClass17,ProbClass18,ProbClass19,Minor Axis,Major Axis,Rotation,RNA Concentration,Color_string
79.66913990441402,780.3952303166375,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.011251644936166446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9887483550638335,0.0,0.0,0.0,0.0,0.0,22.655853215085838,28.68190605056761,2.2415960389233045,0.9082857187795214,"(np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(1.0))"
202.6650786881741,781.7347775005529,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02031459404579083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979685405954209,0.0,0.0,0.0,0.0,0.0,22.82108700919143,26.73277208631342,1.2069806571834818,0.6215013933770546,"(np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(1.0))"
320.3251136882248,779.2712910791274,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00831622786121577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916837721387842,0.0,0.0,0.0,0.0,0.0,21.49939916094185,29.008944647551402,3.0062352931576966,0.5023106005204492,"(np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(1.0))"
536.8364728332217,779.5588957909073,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009008932772073281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909910672279266,0.0,0.0,0.0,0.0,0.0,19.548508036272313,30.462907987686474,2.351091153843281,0.6124347061587229,"(np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(1.0))"
554.5399128182935,782.2288425336935,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051724137803475755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948275862196525,0.0,0.0,0.0,0.0,0.0,25.93491501617918,23.03283525264423,2.124280116981984,1.2130065931939757,"(np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(1.0))"
656.5269561536066,779.8141165783679,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.015257487462849105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9847425125371508,0.0,0.0,0.0,0.0,0.0,19.720537689294684,30.183392067651017,2.8235660763453643,0.830999149162529,"(np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(1.0))"
757.3383108074821,782.3104773477472,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003450981577867748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996549018422133,0.0,0.0,0.0,0.0,0.0,24.930203960570378,23.595794669632507,5.470726974449414,1.1160120912706355,"(np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(1.0))"
774.9200056104245,782.0982239281796,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.020282412630928448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9797175873690716,0.0,0.0,0.0,0.0,0.0,21.34184573938369,28.366621479036464,2.4938487273043988,0.8813794528425704,"(np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(1.0))"
61.63878840458737,796.0623384944998,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004238398098613421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957616019013866,0.0,0.0,0.0,0.0,0.0,27.684622866261112,23.445364206708565,2.555904631743836,0.9061271784288052,"(np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(1.0))"
88.93758175885559,795.1438585270099,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.055956021216779575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9440439787832204,0.0,0.0,0.0,0.0,0.0,23.713575115866735,26.103381518987707,1.120068676465551,1.4623362198044563,"(np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(0.4980392156862745), np.float64(1.0))"
