X,Y,Class ID,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,ProbClass0,ProbClass1,ProbClass2,ProbClass3,ProbClass4,ProbClass5,Minor Axis,Major Axis,Rotation,RNA Concentration,Color_string
499.6728617550328,25.18657438074367,5,0,0,0,0,0,1,0.0,0.0,0.6645931153367051,0.16770344233164747,0.0,0.16770344233164747,7.526632068664356,14.765655294026038,0.00832272936863466,0.5493675466592298,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))"
525.8558424366801,15.23217173549692,2,0,0,1,0,0,0,0.0,0.0,0.6953565652900616,0.1523217173549692,0.0,0.1523217173549692,7.646778426673256,12.293694827972095,0.4792073667491241,0.7640448925785732,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
552.1737275500725,16.880364536502796,5,0,0,0,0,0,1,0.0,0.0,0.6623927092699442,0.16880364536502793,0.0,0.16880364536502793,7.479532996078384,14.18595181482359,3.0301410738913614,0.2728763424674583,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))"
566.4207403172786,20.924000697519148,2,0,0,1,0,0,0,0.0,0.0,0.581519986049617,0.2092400069751915,0.0,0.2092400069751915,5.671612454003737,14.601142919830046,0.99221672696746,1.1739644736143524,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
607.0591144334308,32.979937773947995,2,0,0,1,0,0,0,0.0,0.0,0.5,0.25,0.0,0.25,7.668310488218832,12.191004270682068,0.7348427806248793,0.48609644229356447,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
617.684824581273,17.061009801435,2,0,0,1,0,0,0,0.0,0.0,0.6587798039713,0.17061009801434998,0.0,0.17061009801434998,6.2578027161493255,13.79776070976607,0.4243587682015102,0.6771101412803132,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
643.7481305163898,15.139243887835448,2,0,0,1,0,0,0,0.0,0.0,0.9730095330668634,0.013495233466568314,0.0,0.013495233466568314,9.89301923996433,9.615839297259884,2.4297453082624436,0.42612072500909576,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
454.2407596250318,46.92897906784711,2,0,0,1,0,0,0,0.0,0.0,0.8896745346656804,0.055162732667159806,0.0,0.055162732667159806,8.884197109134071,11.207016978634098,4.637883004743686,0.4843744324991861,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
490.05700861377375,48.68182165816301,2,0,0,1,0,0,0,0.0,0.0,0.5,0.25,0.0,0.25,7.362836715673542,12.905805140421895,5.578203758089447,0.7557466507963864,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
503.0882529555605,43.876835200852106,5,0,0,0,0,0,1,0.0,0.0,0.5,0.25,0.0,0.25,6.9117313157756675,15.67028246799498,5.167891837148335,0.555207682995917,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))"
