X,Y
439.15290069294366,405.3243403950825
448.84498421029866,404.66213027631494
461.83758820339546,408.9602693282869
465.4762648142009,408.0591809882608
479.948807930504,405.62414402786635
487.8651465220055,405.49707130666746
486.33402006638653,415.50484120789685
496.61770366803887,414.9611550046579
402.0726667780795,406.7472687468476
413.6335536215692,407.2192119903043
420.48174914508814,405.08313523807
430.84950973316285,408.6965410725018
403.99348329711626,415.5585620722388
415.03589206721614,412.5885522817404
420.4945599112423,415.2787257843536
434.99015548667325,417.1275230862757
447.2702553850204,416.8995303311803
451.2215382949728,416.1906611359498
468.77491126908825,414.39336972176983
473.3820810380949,420.0654966841746
485.7305115048881,416.2535120252035
401.27496080816746,420.27346440988805
410.5483223945989,420.9229694528748
420.6396116691272,423.5000978629107
430.5770633388389,423.1601865443698
441.14393430325396,424.4923707440927
449.95119424342494,426.34952849800715
463.40773457354885,422.8173833379884
470.95734535355376,425.1082924691342
481.38077392376374,426.0834985947843
490.27268787475526,424.3666043670969
498.46363751574114,423.5421733051085
405.14465618394564,427.73505777190957
416.7340878339166,434.5676792703976
420.4367260178378,434.28908518041914
434.6273609244188,434.43833376726207
445.68321880611467,436.8640693826858
455.4326410817532,435.3688449536621
466.5796269711382,434.250545843447
477.9635690021348,432.5946993547801
484.63762425490324,430.8536460518953
493.7300702316141,431.1520404505962
401.25485141565923,438.6926854831686
410.4639287626513,439.73331246116226
418.17975715928213,444.76590568306705
428.44414204078606,439.48756237429694
438.29038655221416,439.807550556419
451.0192018403784,442.67330016241203
460.4971076592863,441.2405174745597
471.0439691881284,442.1979272638084
482.3360989232438,442.7011741852837
491.0297116325448,439.2444492048776
497.41545774728127,437.43001490560846
405.7260082281014,449.6047939045057
415.0919686030404,448.88587022147306
426.51761990437467,452.29425868518024
434.247198402633,450.9073607305001
443.40304011710003,450.52388304722047
455.7113569726327,450.79647790110164
463.8399374067599,451.6184470923024
474.1362094885722,450.1593731903781
483.3712964789292,449.7912890451821
495.9802087442238,453.7744919948008
413.2432761472525,459.4426301690693
420.67165738923717,457.66245546282596
431.48209702925675,458.71531837655454
441.13545019182794,458.527979112002
449.1671547167978,459.976031452404
455.0455552287173,459.4135092661386
467.2056963672108,457.9023338546337
482.29338350261804,453.99295955959474
490.6394402278258,459.0892719537439
498.5080587487401,461.0602570094453
405.0767785910619,468.56453075392
414.9515574841452,466.9593027403206
424.63246970081246,470.8193893566984
435.5016033484505,466.8587537004399
444.930874769353,468.6533412423596
452.88257204685414,467.19445981591105
464.3682825982052,469.88566752140355
477.65124587386913,469.3837084143998
486.9310840607283,468.0183937685925
496.56725837541165,465.06153416624477
408.3669830770708,479.65549751929785
423.0278777568064,475.26655041604647
429.9967724445639,474.3743079118425
439.96381464295706,475.1530079959439
450.30928360609107,475.1744932875121
455.73460173408165,475.05685808848176
469.27963386596423,477.1490446405976
481.02490820767594,477.0822435083765
495.2731520544678,477.8355679968926
417.8432256612562,481.8776960518851
425.8879662240621,482.6536506206107
433.0650815534682,483.7608720078546
446.858075595654,482.93979858145957
454.8931306185232,480.50969665213546
466.5407962996292,486.8459976094459
478.04855050982616,484.569933287839
485.3372215547154,481.8208152496477
497.17762068295235,484.6463378900611
482.7605786508447,492.93988355951427
498.3332173103583,496.82943828536736
434.13303740548696,488.10873702979717
402.11286017733477,491.2311638790475
406.3105174223672,494.36753542469626
421.26966734001803,489.53324985305863
426.0792458762324,491.65301448446604
442.05640499116134,490.5312611494088
451.6298822497606,493.88452262047423
457.5538561164387,492.864385690723
469.0176492978614,494.22363730626125
