X,Y
106.07856254536127,103.87977478917244
117.1646211957315,106.01125454673776
124.56553722351325,107.58678260127895
133.89742512615751,104.38535120888275
146.77164423979264,102.44348698722828
154.85916651128576,104.64188128349589
168.8143439318691,104.32185775678099
175.75157554645827,106.03929390005517
184.26880432833093,103.05873320509066
196.27326744923644,101.64705242704869
101.19547817991136,113.95883936566753
112.59022797964693,111.46039186635466
121.05371831048978,111.00210164820629
131.92448909667138,113.63930641297563
139.53251443406663,111.71472163451241
151.21261113890094,113.32100861434523
155.59259933643676,116.3048477813239
174.27986075976742,112.41982111180891
179.90058161035785,112.92731559028643
189.7763301823109,108.6064242208549
105.435065910488,119.44711603938279
115.66943373685893,122.81256634542162
127.06263549231623,120.52483828163759
132.90297674663603,121.49103044903158
143.6489006486835,120.51826414362603
155.04753953651044,122.39570988485514
166.2907697215712,122.13095665646406
175.07993692123685,121.79293038092307
185.4819592613003,123.93452532721777
193.1904913976679,118.8743182705105
100.77426764133057,129.0037382298272
112.98020144933425,128.04797317674806
121.7290049154851,130.38515457260348
132.74890215087026,129.96728426257448
142.60283147798964,128.32767353568485
150.91356595751355,129.34198296512344
161.3743592443958,131.16695570661872
171.54288066404732,127.92889375009321
180.49222898542587,128.11418512210886
191.2600418848006,131.5265108103926
105.05306993626688,138.2567702888126
115.20637843621049,138.85575415872202
126.05199922796228,140.39648238340806
136.61032273889964,138.72459918376015
144.84133211835345,138.04442605029996
154.63082777349686,138.34692433734273
165.80718838397374,140.24544142321307
174.3918751026488,138.70477035352394
184.60082328288968,136.47420008483735
196.74822240298204,139.2712780227805
103.9702071725753,152.9125356427816
105.12209040344736,145.50684033588388
124.3335857290056,144.89864815663566
126.01820278115764,146.69410432511964
138.84616785522203,150.96844999895146
148.43391381210176,147.70326708639138
161.88452752560113,147.6955699753689
167.35959619149477,146.7867347377075
180.94785464947202,146.45845395167407
190.62836302817487,148.9706176215825
106.01470295327715,153.92115196289933
114.22323146480207,156.54736650049983
125.29572714468405,153.88022742948235
134.48272153433328,153.15876567502823
144.3155519560361,153.5132143733098
157.72860616705236,157.05078514978914
167.71852513309491,154.9499849236518
175.34720911386268,156.0808445713956
186.85191820799307,157.303997119348
191.05973048493624,156.61319636006746
114.51965082589749,166.31265371073488
120.1191558490389,167.20964820773133
132.09326844141756,166.05015859090543
138.04635355128377,162.56074861478544
147.78020801086802,163.11493150251994
160.152912299886,162.6780493200323
171.087175322855,163.3838929977516
180.35788169471323,163.17877820243376
192.10655172588318,164.21311474214852
107.8792587429796,171.3062762413626
116.98546007102509,176.95772192481903
125.59536008814291,173.25622370839613
136.5749378638411,176.67937526615557
143.73440714811906,171.81552781701473
159.19179469445874,170.01041767669878
165.69845427898147,173.71709665827902
174.47174987768827,177.7948842119456
184.4705262791271,170.2674023556604
193.2486301077491,172.88186179562578
108.39884643584841,180.78945795574006
118.87221012885684,176.98709030067147
134.44556483842902,181.8474886563937
141.14134081800856,177.0554366950406
152.13442029979913,181.9786971329215
157.86548333816557,183.02779042243807
172.03768945511635,178.90488343389
182.01393660031488,183.851021657406
189.53094905147182,183.28984378463971
199.12130787812467,183.7338439622573
109.71567325343221,190.42283832908612
112.96611670801124,193.54033684725982
131.1039344068309,190.00686525874048
134.98012745964945,189.40839822359953
143.04911378694348,191.10673900341493
158.4832408117065,190.1816711447522
109.68045336910615,199.2449000913892
154.29728527675675,194.26148386997338
165.38120080005842,192.0706435710455
173.98605395083285,194.3838933690094
187.31131572538234,189.24216573299515
198.1405366277531,191.55240131526452
150.11508709666404,198.6448927501358
159.5849112336525,199.7213002417872
182.46084919467273,199.36534844922434
189.20217700741384,199.34215335413094
199.73730446527375,199.42103707050768
