x,y,gene
721.2512163848103,296.5248458529333,Gene 4
720.735176562553,296.738008840555,Gene 4
720.4798175880214,300.28265349032677,Gene 4
721.1531359028461,292.6591890718463,Gene 24
721.6490699745077,305.81118330856225,Gene 37
721.1725337581669,297.84298633503704,Gene 37
720.6741682239183,307.4108289351206,Gene 37
720.5239692110928,308.1099712378834,Gene 38
720.9132668845858,312.0153711758773,Gene 38
721.1049628325832,312.9033753559226,Gene 38
720.6009881957615,309.9475279731014,Gene 39
720.4064009921657,299.99544015235176,Gene 39
721.5052005640615,305.4933410724711,Gene 39
720.7140403744755,309.7364236448461,Gene 39
720.5654363087051,310.4306689559405,Gene 39
721.0276213698686,294.92836489498296,Gene 39
720.4223028923446,301.72455092430533,Gene 40
721.2485460164052,293.1853840061342,Gene 40
721.2963102936867,309.61286305233574,Gene 40
721.2033967872792,293.2802058126849,Gene 40
720.7777761198184,301.7403482897629,Gene 40
721.5239918610862,300.9946514306364,Gene 41
720.7759357565934,312.8398204095362,Gene 41
721.778460340182,299.88600635164374,Gene 41
720.4740751196241,310.6873894844171,Gene 41
721.2268361555349,294.6773348452409,Gene 41
720.460152995918,300.6817609989768,Gene 41
721.277192030595,307.0998927055685,Gene 41
721.5212600934344,311.163421637596,Gene 41
721.6813724571449,305.62219961143575,Gene 42
721.7894373451508,303.749620490837,Gene 42
720.5368601399952,295.5452350030671,Gene 42
720.3847568742071,299.8745203740902,Gene 42
721.0999119646227,312.0813562770609,Gene 42
721.4425786000979,301.5402469687775,Gene 42
721.0263948194374,296.8813816150627,Gene 43
721.639086336578,301.6513252869892,Gene 43
721.3257616976704,300.3850683062717,Gene 43
721.4717704330569,307.74831118843747,Gene 43
721.4098578779216,301.2781775730002,Gene 43
721.7127105576508,302.7319852745772,Gene 43
720.8045781982064,312.2920457650076,Gene 43
720.8913693604622,311.57392727778847,Gene 43
721.2467691397376,296.9339067202663,Gene 43
720.5561343671161,301.12934814537425,Gene 44
721.7553904463906,301.3236259817783,Gene 44
720.6105709622283,300.8871856835563,Gene 44
721.1863505979562,310.00987161618093,Gene 44
721.3670878135742,308.1682031945614,Gene 46
