X,Y,Class ID,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,ProbClass0,ProbClass1,ProbClass2,ProbClass3,ProbClass4,ProbClass5,Minor Axis,Major Axis,Rotation,RNA Concentration,Color_string
530.1097644346705,15.955597512620724,2,0,0,1,0,0,0,0.0,0.0,0.9548412833045773,0.02257935834771135,0.0,0.02257935834771135,8.477791673323635,11.650906651092795,2.7339772691943383,0.17599514503520985,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
546.8339516198932,30.59475926034378,3,0,0,0,1,0,0,0.0,0.0,0.5257621155610535,0.2371189422194733,0.0,0.2371189422194733,5.43997142116419,6.553456572040428,5.712020821774477,0.5877704969709593,"(np.float64(1.0), np.float64(0.7333333333333333), np.float64(0.47058823529411764), np.float64(1.0))"
574.1615056358546,36.74485540020703,3,0,0,0,1,0,0,0.0,0.0,0.5,0.25,0.0,0.25,4.856660047130759,7.00806954009326,6.199463582859963,0.5034740815755235,"(np.float64(1.0), np.float64(0.7333333333333333), np.float64(0.47058823529411764), np.float64(1.0))"
597.6758261674696,24.12395850288796,2,0,0,1,0,0,0,0.0,0.0,0.5175208299422407,0.24123958502887963,0.0,0.24123958502887963,7.197371823997587,13.00016006658451,4.150301465663332,0.5807701015203226,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
629.570977848168,18.14164748271405,2,0,0,1,0,0,0,0.0,0.0,0.637167050345719,0.1814164748271405,0.0,0.1814164748271405,6.428329710183559,14.424539837421642,5.1237875103254895,1.028344509358485,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
651.7672508649986,17.84478658878172,2,0,0,1,0,0,0,0.0,0.0,0.6431042682243656,0.1784478658878172,0.0,0.1784478658878172,9.28083497887153,10.11603237461239,0.33775498935735576,0.7986139544451776,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
510.20607254984594,42.42020914601541,2,0,0,1,0,0,0,0.0,0.0,0.7348814412146427,0.13255927939267864,0.0,0.13255927939267864,8.240778106383981,11.895784128043967,2.1792059283185066,1.8991087867946732,"(np.float64(1.0), np.float64(0.4980392156862745), np.float64(0.054901960784313725), np.float64(1.0))"
536.4710397015646,41.9587721344089,3,0,0,0,1,0,0,0.0,0.0,0.5,0.25,0.0,0.25,6.058609390918145,5.92913211558356,6.203565127487033,1.3370062213712466,"(np.float64(1.0), np.float64(0.7333333333333333), np.float64(0.47058823529411764), np.float64(1.0))"
563.5841699723477,41.59147925505281,3,0,0,0,1,0,0,0.0,0.0,0.5,0.25,0.0,0.25,5.619936190490057,6.203639759442672,0.9045036303182906,0.07265565447183797,"(np.float64(1.0), np.float64(0.7333333333333333), np.float64(0.47058823529411764), np.float64(1.0))"
585.5912123193176,35.17632584565619,5,0,0,0,0,0,1,0.0,0.0,0.5,0.25,0.0,0.25,6.592797165609115,14.41432987662318,4.182321952100962,0.640699060980812,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))"
